% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:14:26
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
191009.3523921988; -1.59196545167e-05
191069.1648592604; -1.58117164035e-05
191128.9960559348; -1.5819858085e-05
191188.8459880869; -1.55785030806e-05
191248.7146615833; -1.52434664266e-05
191308.6020822934; -1.51322362536e-05
191368.5082560871; -1.49487641663e-05
191428.4331888369; -1.48506729322e-05
191488.376886417; -1.46961493451e-05
191548.3393547032; -1.45504980538e-05
191608.3205995735; -1.45092180937e-05
191668.3206269071; -1.47344982389e-05
191728.3394425863; -1.41629382394e-05
191788.3770524942; -1.37236200862e-05
191848.4334625159; -1.38249654703e-05
191908.5086785384; -1.36909629434e-05
191968.6027064507; -1.37285765463e-05
192028.7155521435; -1.37222831984e-05
192088.8472215094; -1.3795414895e-05
192148.9977204424; -1.33587047775e-05
192209.1670548395; -1.3244891405e-05
192269.3552305985; -1.27523002921e-05
192329.5622536194; -1.27322553189e-05
192389.7881298039; -1.27219006078e-05
192450.0328650557; -1.318687777e-05
192510.2964652804; -1.28923691331e-05
192570.5789363853; -1.24701139211e-05
192630.8802842791; -1.26585168882e-05
192691.2005148739; -1.18020850681e-05
192751.5396340819; -1.1982706426e-05
192811.8976478181; -1.1627386463e-05
192872.274561999; -1.12800766133e-05
192932.6703825431; -1.10622481909e-05
192993.0851153708; -1.15888339899e-05
193053.5187664041; -1.13218204548e-05
193113.9713415668; -1.11291778775e-05
193174.4428467854; -1.13430366109e-05
193234.9332879874; -1.12821095536e-05
193295.4426711023; -1.0529344633e-05
193355.9710020616; -1.08096112084e-05
193416.5182867986; -1.08324692314e-05
193477.0845312484; -1.06208613843e-05
193537.6697413481; -1.03545845573e-05
193598.2739230362; -1.02956197934e-05
193658.8970822542; -9.78766374457e-06
193719.5392249443; -1.00350506077e-05
193780.200357051; -9.80134732706e-06
193840.8804845205; -9.26419958838e-06
193901.5796133012; -9.29531672475e-06
193962.297749343; -9.18458169995e-06
194023.0348985975; -9.02567816539e-06
194083.7910670191; -9.02253740823e-06
194144.5662605633; -8.68512535012e-06
194205.3604851874; -8.76524850195e-06
194266.1737468509; -8.49219951203e-06
194327.006051515; -8.04680062484e-06
194387.8574051427; -8.65008729388e-06
194448.7278136991; -8.36392808082e-06
194509.6172831507; -8.23824029196e-06
194570.5258194669; -8.20294143747e-06
194631.4534286178; -8.07191162448e-06
194692.400116576; -7.7985857512e-06
194753.3658893157; -7.66989745377e-06
194814.3507528132; -7.81805529235e-06
194875.3547130465; -7.67191508843e-06
194936.3777759956; -7.65573160177e-06
194997.4199476417; -7.59628347e-06
195058.4812339695; -7.66993616075e-06
195119.5616409641; -7.39074526737e-06
195180.6611746129; -7.32865097749e-06
195241.7798409051; -7.24653414149e-06
195302.9176458321; -7.05067573135e-06
195364.0745953867; -6.86795029023e-06
195425.2506955636; -6.8725543839e-06
195486.4459523604; -6.7984752786e-06
195547.6603717753; -6.67982365734e-06
195608.8939598089; -6.52291084857e-06
195670.1467224637; -6.41337928318e-06
195731.418665744; -6.48885842976e-06
195792.7097956558; -6.13666028676e-06
195854.0201182075; -6.25576632976e-06
195915.3496394084; -6.10662753048e-06
195976.6983652714; -6.15536427998e-06
196038.0663018095; -5.99598441039e-06
196099.4534550386; -5.97182763972e-06
196160.8598309761; -5.79944599741e-06
196222.2854356414; -5.82580763116e-06
196283.7302750556; -5.75576579696e-06
196345.1943552421; -5.73477952671e-06
196406.6776822254; -5.72024649868e-06
196468.1802620332; -5.62216601751e-06
196529.7021006939; -5.59593958362e-06
196591.2432042383; -5.49986805682e-06
196652.8035786989; -5.47536253358e-06
196714.3832301103; -5.71535088918e-06
196775.9821645086; -5.32115203903e-06
196837.6003879324; -5.27720524757e-06
196899.2379064211; -5.15054285764e-06
196960.8947260178; -5.19798998261e-06
197022.5708527659; -5.25304778601e-06
197084.2662927113; -5.08512093647e-06
197145.9810519016; -5.17676890181e-06
197207.7151363865; -5.03390446004e-06
197269.4685522175; -4.94842463389e-06
197331.2413054475; -4.89986439531e-06
197393.0334021327; -5.01152319723e-06
197454.8448483299; -4.89693913949e-06
197516.6756500981; -4.829788584e-06
197578.5258134984; -4.79498656064e-06
197640.3953445935; -4.752835844e-06
197702.2842494483; -4.7978625337e-06
197764.1925341295; -4.58759866028e-06
197826.1202047052; -4.58900690355e-06
197888.0672672468; -4.71164775319e-06
197950.0337278261; -4.66587092749e-06
198012.0195925176; -4.4002591166e-06
198074.0248673972; -4.55688841666e-06
198136.0495585433; -4.42332691904e-06
198198.0936720357; -4.39009188186e-06
198260.1572139563; -4.52578252923e-06
198322.2401903885; -4.41619558717e-06
198384.3426074189; -4.24403817963e-06
198446.4644711346; -4.45731822156e-06
198508.6057876252; -4.32406014416e-06
198570.7665629821; -4.21245570916e-06
198632.9468032985; -4.20479950352e-06
198695.1465146698; -4.31616965942e-06
198757.3657031931; -4.17244004131e-06
