% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:32:43
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
181875.4786339759; -5.81717516284e-06
181932.3235449045; -5.70364707774e-06
181989.1862226257; -5.58564880834e-06
182046.0666726924; -5.65775623727e-06
182102.9649006593; -5.47577344598e-06
182159.880912083; -5.53195330204e-06
182216.8147125216; -5.69115252601e-06
182273.766307535; -5.49972003919e-06
182330.7357026848; -5.37930117405e-06
182387.7229035347; -5.38543460347e-06
182444.7279156495; -5.10881236516e-06
182501.7507445963; -4.9718500693e-06
182558.7913959436; -5.29073851233e-06
182615.8498752619; -5.14913327938e-06
182672.9261881229; -5.24841366567e-06
182730.020340101; -4.98978680421e-06
182787.1323367717; -4.76538685516e-06
182844.2621837122; -4.85277644311e-06
182901.4098865015; -4.93607343504e-06
182958.5754507205; -4.8911342627e-06
183015.7588819518; -4.56352438882e-06
183072.9601857796; -4.45948295894e-06
183130.1793677901; -4.29274160638e-06
156688.5255184849; -3.25017552462e-05
156737.4982845969; -3.23003636782e-05
156786.4863570741; -3.22262842232e-05
156835.4897407008; -3.19107485946e-05
156884.5084402622; -3.20339669365e-05
156933.5424605455; -3.19250022281e-05
156982.591806339; -3.18208735405e-05
157031.6564824328; -3.17422063823e-05
157080.7364936183; -3.17871227559e-05
157129.8318446881; -3.15197275148e-05
157178.9425404373; -3.14504632209e-05
157228.0685856616; -3.11624834851e-05
157277.2099851584; -3.09544412869e-05
157326.3667437268; -3.08521385493e-05
157375.538866167; -3.10039702777e-05
157424.7263572812; -3.09584042595e-05
157473.9292218727; -3.1189131603e-05
157523.1474647465; -3.09507095914e-05
157572.381090709; -3.10041093026e-05
157621.6301045684; -3.10900940695e-05
157670.8945111338; -3.11252542583e-05
157720.1743152165; -3.08902776074e-05
157769.4695216288; -3.07750950323e-05
157818.7801351847; -3.04864106531e-05
157868.1061606996; -3.03958821938e-05
157917.4476029907; -3.09240358544e-05
157966.804466876; -3.09525018723e-05
158016.1767571761; -3.08758725507e-05
158065.5644787124; -3.08703962283e-05
158114.9676363076; -3.11206647923e-05
158164.3862347865; -3.11861017304e-05
158213.820278975; -3.10626272561e-05
158263.2697737007; -3.12127425034e-05
158312.7347237925; -3.1150714025e-05
158362.2151340811; -3.11007683121e-05
158411.7110093985; -3.12660598926e-05
158461.2223545782; -3.15722614055e-05
158510.7491744554; -3.16324085236e-05
158560.2914738666; -3.15759631336e-05
158609.8492576501; -3.1692780338e-05
158659.4225306453; -3.19253470286e-05
158709.0112976934; -3.21460046468e-05
158758.615563637; -3.22426492602e-05
158808.2353333203; -3.26782440285e-05
158857.8706115887; -3.27111532013e-05
158907.52140329; -3.30035063446e-05
158957.1877132725; -3.30107816465e-05
159006.8695463866; -3.29564499516e-05
159056.5669074838; -3.29680045871e-05
159106.2798014174; -3.31057552586e-05
159156.0082330423; -3.33490652929e-05
159205.7522072147; -3.37020694167e-05
159255.5117287925; -3.38656650818e-05
159305.2868026348; -3.40689729133e-05
159355.0774336026; -3.43125513608e-05
159404.8836265581; -3.42131381781e-05
159454.7053863654; -3.39207254528e-05
159504.5427178898; -3.42193354203e-05
159554.3956259982; -3.41956732816e-05
159604.2641155591; -3.433130732e-05
159654.1481914423; -3.431505563e-05
159704.0478585191; -3.42125264922e-05
159753.9631216631; -3.42687796213e-05
159803.8939857485; -3.45576724791e-05
159853.8404556514; -3.47898410744e-05
159903.8025362493; -3.49616778706e-05
159953.7802324214; -3.50324732009e-05
160003.7735490483; -3.49145607791e-05
160053.782491012; -3.50613712771e-05
160103.8070631964; -3.52485874205e-05
160153.8472704865; -3.50222462941e-05
160203.9031177692; -3.49218571756e-05
160253.9746099327; -3.49512692208e-05
160304.0617518667; -3.48804601995e-05
160354.1645484626; -3.48547238521e-05
160404.2830046132; -3.47887681268e-05
160454.4171252129; -3.49294686404e-05
160504.5669151576; -3.48595019359e-05
160554.7323793444; -3.50226319324e-05
160604.9135226729; -3.51821600918e-05
160655.1103500433; -3.52387714185e-05
160705.3228663576; -3.52646860421e-05
160755.5510765193; -3.52512721987e-05
160805.7949854336; -3.51867824043e-05
160856.054598007; -3.51890697336e-05
160906.3299191478; -3.50990250997e-05
160956.6209537656; -3.51154081171e-05
161006.9277067715; -3.52329508244e-05
161057.2501830785; -3.50048691254e-05
161107.5883876008; -3.51035860086e-05
161157.9423252542; -3.51096181367e-05
161208.3120009561; -3.48085919216e-05
161258.6974196254; -3.48841903672e-05
161309.0985861825; -3.50345714423e-05
161359.5155055494; -3.49679567884e-05
161409.9481826493; -3.48921717228e-05
161460.3966224079; -3.49567552973e-05
161510.8608297515; -3.51657650874e-05
161561.3408096082; -3.51940827377e-05
161611.8365669077; -3.48970641525e-05
161662.3481065812; -3.49449215544e-05
161712.8754335615; -3.51986695008e-05
161763.4185527828; -3.52757218316e-05
161813.977469181; -3.5183489877e-05
161864.5521876935; -3.50559186347e-05
161915.1427132592; -3.50636180036e-05
161965.7490508186; -3.47906879157e-05
162016.3712053137; -3.48745639233e-05
162067.0091816881; -3.48901474008e-05
162117.6629848868; -3.49054065849e-05
162168.3326198565; -3.48633657814e-05
162219.0180915455; -3.47094353415e-05
162269.7194049031; -3.46298689873e-05
