% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/11/21 14:18:39
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (A)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (A)
171982.4472906369; -2.4246326015e-08
172056.6245440493; -2.41690481642e-08
172130.833790639; -2.41330161328e-08
172205.0750442052; -2.40402474286e-08
172279.348318552; -2.39398376329e-08
172353.6536274905; -2.39313115788e-08
172427.9909848376; -2.38836605139e-08
172502.3604044164; -2.38009841795e-08
172576.7619000546; -2.36649274956e-08
172651.1954855874; -2.35150575387e-08
172725.6611748557; -2.35566299791e-08
172800.1589817054; -2.34801888285e-08
172874.6889199893; -2.34124843394e-08
172949.2510035663; -2.32982180134e-08
173023.8452463002; -2.32189128172e-08
173098.4716620619; -2.31259607171e-08
173173.1302647281; -2.30439201479e-08
173247.8210681806; -2.29690775922e-08
173322.5440863081; -2.29937839696e-08
173397.2993330055; -2.2856040895e-08
173472.0868221724; -2.25800810319e-08
173546.9065677156; -2.2458075415e-08
173621.7585835479; -2.25350859793e-08
173696.6428835869; -2.24411408824e-08
173771.5594817574; -2.23610042721e-08
173846.5083919902; -2.23316559136e-08
173921.489628221; -2.21371637693e-08
173996.5032043926; -2.20268713302e-08
174071.5491344538; -2.19732089105e-08
174146.6274323583; -2.1950972994e-08
174221.738112067; -2.17848710648e-08
174296.8811875463; -2.1683073138e-08
174372.0566727692; -2.17395359199e-08
174447.2645817135; -2.16683620683e-08
174522.5049283642; -2.1522945067e-08
174597.7777267121; -2.14746975454e-08
174673.0829907533; -2.13004939887e-08
174748.4207344908; -2.12653438145e-08
174823.7909719337; -2.10208359542e-08
174899.1937170959; -2.09970964867e-08
174974.6289839988; -2.08769364003e-08
175050.0967866694; -2.08289536532e-08
175125.5971391401; -2.07463872589e-08
175201.13005545; -2.06474992032e-08
175276.6955496446; -2.05310487289e-08
175352.2936357743; -2.04482755011e-08
175427.9243278966; -2.02973640976e-08
